"CI","p.value","adj.p.value","test","graph","rejected"
"Mek _||_ PIP2 | Akt, PLCg",0.9444876987424,1,"gcm","LLM",FALSE
"Mek _||_ PIP2 | Akt, PKC",0.589194434564656,1,"gcm","LLM",FALSE
"Mek _||_ PIP2 | Raf",0.17955112358589,1,"gcm","LLM",FALSE
"Mek _||_ PIP3 | Akt, PLCg",0.0409035890857525,1,"gcm","LLM",FALSE
"Mek _||_ PIP3 | Akt, PKC",0.0526127427911439,1,"gcm","LLM",FALSE
"Mek _||_ PIP3 | Raf",0.636916996289627,1,"gcm","LLM",FALSE
"Mek _||_ PKA | Raf",0.624008500599165,1,"gcm","LLM",FALSE
"Mek _||_ PKC | Raf",0.348622231936027,1,"gcm","LLM",FALSE
"Mek _||_ PLCg | PIP3, PKC",0.833855167770373,1,"gcm","LLM",FALSE
"Mek _||_ PLCg | Akt, PKC",0.750310374184118,1,"gcm","LLM",FALSE
"Mek _||_ PLCg | Raf",0.794908632821852,1,"gcm","LLM",FALSE
"Mek _||_ p38 | PKC",0.00936814453144896,0.693242695327223,"gcm","LLM",FALSE
"Mek _||_ p38 | Raf",0.401699662065819,1,"gcm","LLM",FALSE
"PIP2 _||_ PKC | PLCg",0.934414593072953,1,"gcm","LLM",FALSE
"PIP2 _||_ PKC | PIP3",0.527697603172371,1,"gcm","LLM",FALSE
"PIP2 _||_ PLCg | PIP3",0.534685713318981,1,"gcm","LLM",FALSE
"PIP2 _||_ Raf | Akt, PKC",0.77253748527621,1,"gcm","LLM",FALSE
"PIP2 _||_ Raf | Akt, PLCg",0.27027589028806,1,"gcm","LLM",FALSE
"PIP2 _||_ Raf | PIP3",0.602110103111486,1,"gcm","LLM",FALSE
"PIP2 _||_ p38 | PKC",0.0317927617961608,1,"gcm","LLM",FALSE
"PIP2 _||_ p38 | PLCg",0.773125608173434,1,"gcm","LLM",FALSE
"PIP2 _||_ p38 | PIP3",0.998912562515714,1,"gcm","LLM",FALSE
"PIP3 _||_ PKC | PLCg",0.20510053845685,1,"gcm","LLM",FALSE
"PIP3 _||_ Raf | Akt, PKC",0.527040868185734,1,"gcm","LLM",FALSE
"PIP3 _||_ Raf | Akt, PLCg",0.270639988369159,1,"gcm","LLM",FALSE
"PIP3 _||_ p38 | PKC",0.0883351459190003,1,"gcm","LLM",FALSE
"PIP3 _||_ p38 | PLCg",0.424720517710904,1,"gcm","LLM",FALSE
"PLCg _||_ Raf | Akt, PKC",0.992246657168346,1,"gcm","LLM",FALSE
"PLCg _||_ Raf | PIP3, PKC",0.569390990447104,1,"gcm","LLM",FALSE
"PLCg _||_ p38 | PKC",0.0972137294738911,1,"gcm","LLM",FALSE
"Raf _||_ p38 | PKC",0.0116121226506126,0.847684953494721,"gcm","LLM",FALSE
"Akt _||_ Erk | Mek",0,0,"pcm","LLM",TRUE
"Akt _||_ Erk | Raf",0,0,"pcm","LLM",TRUE
"Akt _||_ JNK | PKC",0.718425563548445,1,"pcm","LLM",FALSE
"Akt _||_ JNK | PLCg",0.966730202516335,1,"pcm","LLM",FALSE
"Akt _||_ JNK | PIP3",0.310756249089549,1,"pcm","LLM",FALSE
"Akt _||_ Mek | Raf",0.615424551427475,1,"pcm","LLM",FALSE
"Akt _||_ PIP2 | PIP3",0.21229314234766,1,"pcm","LLM",FALSE
"Akt _||_ PKC | PLCg",0.35335620501131,1,"pcm","LLM",FALSE
"Akt _||_ PKC | PIP3",0.00111777501077726,0.0827153507975169,"pcm","LLM",FALSE
"Akt _||_ PLCg | PIP3",0.654461110293019,1,"pcm","LLM",FALSE
"Akt _||_ p38 | PKC",0.185784304183346,1,"pcm","LLM",FALSE
"Akt _||_ p38 | PLCg",0.13486002528242,1,"pcm","LLM",FALSE
"Akt _||_ p38 | PIP3",0.770947276464659,1,"pcm","LLM",FALSE
"Erk _||_ JNK | PKC",0.393587924452105,1,"pcm","LLM",FALSE
"Erk _||_ JNK | Raf",0.179846264435292,1,"pcm","LLM",FALSE
"Erk _||_ JNK | Mek",0.334126965048907,1,"pcm","LLM",FALSE
"Erk _||_ PIP2 | PIP3",0.503468167496695,1,"pcm","LLM",FALSE
"Erk _||_ PIP2 | Akt, PLCg",0.468449489483079,1,"pcm","LLM",FALSE
"Erk _||_ PIP2 | Akt, PKC",0.892173938328307,1,"pcm","LLM",FALSE
"Erk _||_ PIP2 | Raf",0.00221504010580542,0.157267847512185,"pcm","LLM",FALSE
"Erk _||_ PIP2 | Mek",0.940291702594733,1,"pcm","LLM",FALSE
"Erk _||_ PIP3 | Akt, PLCg",0.915779072554555,1,"pcm","LLM",FALSE
"Erk _||_ PIP3 | Akt, PKC",0.338331085621608,1,"pcm","LLM",FALSE
"Erk _||_ PIP3 | Raf",0.88295428835625,1,"pcm","LLM",FALSE
"Erk _||_ PIP3 | Mek",0.369631209229589,1,"pcm","LLM",FALSE
"Erk _||_ PKA | Raf",3.0018032504131e-10,2.28137047031396e-08,"pcm","LLM",TRUE
"Erk _||_ PKA | Mek",6.56957821476567e-11,5.05857522536957e-09,"pcm","LLM",TRUE
"Erk _||_ PKC | Raf",0.00843754845679823,0.590628391975876,"pcm","LLM",FALSE
"Erk _||_ PKC | Mek",0.553859047561947,1,"pcm","LLM",FALSE
"Erk _||_ PLCg | PIP3, PKC",0.671460913289879,1,"pcm","LLM",FALSE
"Erk _||_ PLCg | Akt, PKC",0.222628103588134,1,"pcm","LLM",FALSE
"Erk _||_ PLCg | Raf",0.138721497295449,1,"pcm","LLM",FALSE
"Erk _||_ PLCg | Mek",0.931620921332038,1,"pcm","LLM",FALSE
"Erk _||_ Raf | Mek",0.903874373597175,1,"pcm","LLM",FALSE
"Erk _||_ p38 | PKC",0.127376350660651,1,"pcm","LLM",FALSE
"Erk _||_ p38 | Raf",0.823909783818473,1,"pcm","LLM",FALSE
"Erk _||_ p38 | Mek",0.469004314453156,1,"pcm","LLM",FALSE
"JNK _||_ Mek | Raf",0.0540786155253088,1,"pcm","LLM",FALSE
"JNK _||_ Mek | PKC",0.366206848803567,1,"pcm","LLM",FALSE
"JNK _||_ PIP2 | PIP3",0.190900982093168,1,"pcm","LLM",FALSE
"JNK _||_ PIP2 | PLCg",0.953860328303588,1,"pcm","LLM",FALSE
"JNK _||_ PIP2 | PKC",0.880319638438805,1,"pcm","LLM",FALSE
"JNK _||_ PIP3 | PLCg",0.0434218738738579,1,"pcm","LLM",FALSE
"JNK _||_ PIP3 | PKC",0.0221065107541509,1,"pcm","LLM",FALSE
"JNK _||_ PLCg | PKC",0.81896137575728,1,"pcm","LLM",FALSE
"JNK _||_ Raf | PKC",0.322997580900031,1,"pcm","LLM",FALSE
"JNK _||_ p38 | PKC",9.05893130475066e-05,0.006794198478563,"pcm","LLM",TRUE
"Mek _||_ PIP2 | PIP3",0.330212755125307,1,"pcm","LLM",FALSE
"Mek _||_ PIP2 | Akt, PLCg",0.543274198109233,1,"pcm","LLM",FALSE
"Mek _||_ PIP2 | Akt, PKC",0.340925294175003,1,"pcm","LLM",FALSE
"Mek _||_ PIP2 | Raf",0.349228866618542,1,"pcm","LLM",FALSE
"Mek _||_ PIP3 | Akt, PLCg",0.855942473775784,1,"pcm","LLM",FALSE
"Mek _||_ PIP3 | Akt, PKC",0.739184681518324,1,"pcm","LLM",FALSE
"Mek _||_ PIP3 | Raf",0.31854274080385,1,"pcm","LLM",FALSE
"Mek _||_ PKA | Raf",0.13625686990555,1,"pcm","LLM",FALSE
"Mek _||_ PKC | Raf",0.851687932840134,1,"pcm","LLM",FALSE
"Mek _||_ PLCg | PIP3, PKC",0.989998833979594,1,"pcm","LLM",FALSE
"Mek _||_ PLCg | Akt, PKC",0.982587659986598,1,"pcm","LLM",FALSE
"Mek _||_ PLCg | Raf",0.66327256156055,1,"pcm","LLM",FALSE
"Mek _||_ p38 | PKC",0.322112338038483,1,"pcm","LLM",FALSE
"Mek _||_ p38 | Raf",0.227808760527929,1,"pcm","LLM",FALSE
"PIP2 _||_ PKC | PLCg",0.630223396644873,1,"pcm","LLM",FALSE
"PIP2 _||_ PKC | PIP3",0.0145318726523729,1,"pcm","LLM",FALSE
"PIP2 _||_ PLCg | PIP3",0.0500040332883088,1,"pcm","LLM",FALSE
"PIP2 _||_ Raf | Akt, PKC",0.537138795845662,1,"pcm","LLM",FALSE
"PIP2 _||_ Raf | Akt, PLCg",0.381086316997099,1,"pcm","LLM",FALSE
"PIP2 _||_ Raf | PIP3",0.0367411367637763,1,"pcm","LLM",FALSE
"PIP2 _||_ p38 | PKC",0.257587181254365,1,"pcm","LLM",FALSE
"PIP2 _||_ p38 | PLCg",0.00153062957683781,0.11173595910916,"pcm","LLM",FALSE
"PIP2 _||_ p38 | PIP3",0.147601820109131,1,"pcm","LLM",FALSE
"PIP3 _||_ PKC | PLCg",0.0430283557866863,1,"pcm","LLM",FALSE
"PIP3 _||_ Raf | Akt, PKC",0.0328891532075936,1,"pcm","LLM",FALSE
"PIP3 _||_ Raf | Akt, PLCg",0.557372662523644,1,"pcm","LLM",FALSE
"PIP3 _||_ p38 | PKC",0.00173337143512942,0.124802743329318,"pcm","LLM",FALSE
"PIP3 _||_ p38 | PLCg",0.0469867998078507,1,"pcm","LLM",FALSE
"PLCg _||_ Raf | Akt, PKC",0.0521649419925884,1,"pcm","LLM",FALSE
"PLCg _||_ Raf | PIP3, PKC",0.576074485278082,1,"pcm","LLM",FALSE
"PLCg _||_ p38 | PKC",0.904877532385346,1,"pcm","LLM",FALSE
"Raf _||_ p38 | PKC",0.642300131552582,1,"pcm","LLM",FALSE
